,Title,Writer(s),Date,Link
597,Major marijuana shortcoming: Clientele for medical dispensaries is scarce. Some blame a complicated approval path.,"Hefler, Jan. 
",2014-05-09,proquest.com/docview/1522805172/fulltext/F588A9DBAA774738PQ/14
598,"Thrill on the Schuylkill: For Humboldt State women, wild race caps an electric afternoon","Jensen, Mike. 
",2014-05-11,proquest.com/docview/1525829468/fulltext/30F2FE8A4CFF4D06PQ/46
599,History repeating in rent-to-own deals: Houses once owned by convicted scammer Bob Coyle will go up for auction. The math just doesn't work.,"Melamed, Samantha. 
",2014-05-13,proquest.com/docview/1525829316/fulltext/30B84120A6034C86PQ/15
600,Fentanyl-laced heroin deaths up in city,"Burling, Stacey. 
",2014-05-13,proquest.com/docview/1525829466/fulltext/30B84120A6034C86PQ/23
601,"N.J. House candidates square off in debate: Five seeking the First Congressional District seat - three Democrats, 2 from the GOP - met in Lawnside.","Terruso, Julia. 
",2014-05-14,proquest.com/docview/1526026658/fulltext/E4CA40572FFC4835PQ/13
602,Looking for an at-large role: Ed Neilson faces 2 opponents in the May 20 primary.,"Graham, Troy. 
",2014-05-15,proquest.com/docview/1526026423/fulltext/3F1FA934BB234775PQ/19
603,"Doctors, others question bill on prescriptions","Andrew Seidman INQUIRER TRENTON BUREAU. 
",2014-05-16,proquest.com/docview/1526026364/fulltext/9FA2B5D4C7A43E4PQ/13
604,W. Deptford plastics firm will test water: Solvay Specialty Polymers will have at least 90 private wells tested for PFCs.,"Fichera, Angelo. 
",2014-05-16,proquest.com/docview/1526026714/fulltext/9FA2B5D4C7A43E4PQ/18
605,Lawyer going to Justice Dept.: She is leaving Morgan Lewis to head the agency's criminal division. She's worked there before.,"Mondics, Chris. 
",2014-05-17,proquest.com/docview/1526518488/fulltext/E1CB56A1FCD474EPQ/6
606,Striking a balance with young offenders: Court proceedings for juveniles are a mix of tough love and an effort to give guidance.,"Davis, Carolyn. 
",2014-05-19,proquest.com/docview/1526516534/fulltext/B1A5868864DE430BPQ/4
607,CAMDEN COUNTY: Summit will address heroin use,"Giordano, - Rita. 
",2014-05-19,proquest.com/docview/1526516822/fulltext/B1A5868864DE430BPQ/15
608,Rap royal RZA takes Fox,"David Hiltbrand INQUIRER TV CRITIC. 
",2014-05-20,proquest.com/docview/1527149166/fulltext/5795D9AE98054A0DPQ/34
609,Club will work out Duke's Hood,"Pompey, - Keith. 
",2014-05-27,proquest.com/docview/1529535826/fulltext/831DA47497234EE0PQ/26
610,CHESTER COUNTY: Legislation targets heroin overdoses,#NAME?,2014-05-28,proquest.com/docview/1530233844/fulltext/BDE153C14D554E4CPQ/24
611,Pa. drug ring tied to cartel: Dozens were arrested in the Chesco cocaine investigation.,"Nadolny, Tricia. 
",2014-05-29,proquest.com/docview/1530233336/fulltext/E3BDDA7386EE4106PQ/4
612,Man gets 5 to 10 years in killing of toddler,"Slobodzian, Joseph A. 
",2014-05-31,proquest.com/docview/1531397436/fulltext/1102797F51E04449PQ/11
613,"Sounds Like Summer: Sand, sun, hot music at Roots Picnic on the Delaware.","Terruso, Julia. 
",2014-06-01,proquest.com/docview/1531394756/fulltext/9D237A1DB85454BPQ/18
614,Personal security: Small Business: Cora sells monthly products to women. Its profit provides the products to girls in need.,"Mastrull, Diane. 
",2014-06-02,proquest.com/docview/1531394996/fulltext/9920475BAC0940FEPQ/24
615,SideShow: YOUR DAILY DOSE OF GOSSIP SideShow YOUR DAILY DOSE OF GOSSIP,"Derakhshani, Tirdad. 
",2014-06-04,proquest.com/docview/1532846370/fulltext/81412635974E56PQ/49
616,"After heroin, she's now clean, sober, and frank","Riordan, Kevin. 
",2014-06-05,proquest.com/docview/1532846885/fulltext/D6971C71AE414067PQ/12
617,Chicago sues Chesco drug firms over painkillers,"Nadolny, Tricia L. 
",2014-06-05,proquest.com/docview/1532846390/fulltext/D6971C71AE414067PQ/32
618,City's pension system hires new managers,"Arvedlund, Erin. 
",2014-06-06,proquest.com/docview/1533437312/fulltext/19A71969B19142D7PQ/6
619,Pa. man pleads guilty in Camden in carjacking: Carjacking,"Boren, Michael. 
",2014-06-06,proquest.com/docview/1533437155/fulltext/19A71969B19142D7PQ/11
620,"NJSIAA, state studying effects of school shoice","Anastasia, Phil. 
",2014-06-06,proquest.com/docview/1533437037/fulltext/19A71969B19142D7PQ/47
621,"Gillies clears waivers, is off 40-man roster","Gelb, Matt. 
",2014-06-07,proquest.com/docview/1534162040/fulltext/2052A4E0D9D04A76PQ/26
622,Marijuana products still await state OK: N.J. approval process stalls marijuana edibles,"Hefler, Jan. 
",2014-06-08,proquest.com/docview/1534161922/fulltext/8448A40C6A4F427BPQ/13
623,"Hugs, memories, a library: In tribute to a young teacher who believed in the power of books.","Gammage, Jeff. 
",2014-06-08,proquest.com/docview/1534161995/fulltext/8448A40C6A4F427BPQ/17
624,"A different dementia: FTD is hard to detect, manifesting in behavior, language oddities.","Burling, Stacey. 
",2014-06-08,proquest.com/docview/1534161992/fulltext/8448A40C6A4F427BPQ/55
625,Hazy future for city pot bill,"Graham, Troy. 
",2014-06-10,proquest.com/docview/1534367295/fulltext/99CEB90B8C584F77PQ/35
626,Harrisburg hears how marijuana can help: Unusual witness presses medical-marijuana cause,"Hefler, Jan. 
",2014-06-11,proquest.com/docview/1534603896/fulltext/8D67BAC8B40C4800PQ/14
627,"Council panel approves plan to cut sulfur limit: The bill would lower it in home heating oil from 2,000 parts per million to 15.","Bauers, Sandy. 
",2014-06-12,proquest.com/docview/1535126386/fulltext/25477591AB3448C9PQ/3
628,College drug abuse is focus of Temple forum,"Sell, David. 
",2014-06-12,proquest.com/docview/1535126173/fulltext/25477591AB3448C9PQ/6
629,Mother faces charges from drugs at school,#NAME?,2014-06-12,proquest.com/docview/1535126360/fulltext/25477591AB3448C9PQ/29
630,Plea deal for man charged in officer's death: One of two accused in Moses Walker shooting can avoid life if he cooperates.,"Slobodzian, Joseph A. 
",2014-06-13,proquest.com/docview/1535295237/fulltext/6170FB6635D54B22PQ/13
631,CEO quits medical marijuana facility: He reportedly disagreed with board on its viability.,"Hefler, Jan. 
",2014-06-13,proquest.com/docview/1535295233/fulltext/6170FB6635D54B22PQ/17
632,The complete 'Breaking Bad',"Derakhshani, Tirdad. 
",2014-06-13,proquest.com/docview/1535295196/fulltext/6170FB6635D54B22PQ/60
633,"Pro-marijuana activist is now a full participant: Chris Goldstein, a NORML blogger, was convicted of lighting up in Phila.","Hefler, Jan. 
",2014-06-15,proquest.com/docview/1535803128/fulltext/F40D50FDFE7141ABPQ/14
634,Temple trying ibuprofen on emphysema,"Burling, Stacey. 
",2014-06-15,proquest.com/docview/1535804458/fulltext/F40D50FDFE7141ABPQ/51
635,"U.S. acts to stop fraud by Phila. ambulances: As part of the push, Medicare officials blocked new area companies from becoming eligible for payments.","Brubaker, Harold. 
",2014-06-17,proquest.com/docview/1536468053/fulltext/E3C9DE6F008349DCPQ/3
636,"Christie to expand heroin-OD program: It trains responders to administer Narcan, which can reverse effects, and works well, he said.","Maddie Hanna INQUIRER TRENTON BUREAU. 
",2014-06-18,proquest.com/docview/1537083216/fulltext/BDEE8454ABD4464BPQ/1
637,Shire could be next health-care takeover: Buying the Ireland-based drugmaker would allow U.S. companies to pay lower corporate taxes.,"Sell, David. 
",2014-06-18,proquest.com/docview/1537083253/fulltext/BDEE8454ABD4464BPQ/9
638,BUCKS COUNTY: Drug abuse message to air in five movie theaters,"Palmer, - Chris. 
",2014-06-19,proquest.com/docview/1537450762/fulltext/36ECBCC839174FFAPQ/25
639,"Drug overdose deaths surge in Pa., N.J.","Sapatkin, Don. 
",2014-06-20,proquest.com/docview/1538250528/fulltext/EB18721A015E4E8CPQ/2
640,Mellow Majority: City Council voted to relax Phila. rules for possessing small amounts of marijuana. Nutter will consider the bill.,"Gammage, Jeff; Jason GrantS Dylan Purcell contributed to this article. 
",2014-06-20,proquest.com/docview/1538250785/fulltext/EB18721A015E4E8CPQ/3
641,"Treatment for teen in Main Line drug ring: L. Merion boy, 17, sent to W. Pa. center for 90 days.","Davis, Carolyn. 
",2014-06-20,proquest.com/docview/1538250915/fulltext/EB18721A015E4E8CPQ/21
642,"Ramsey: Police would ignore pot rule: ""State law trumps city ordinances,"" said the police commissioner, and possession would still result in arrest.","Vargas, Claudia. 
",2014-06-21,proquest.com/docview/1539332038/fulltext/2D4A1234077F453CPQ/2
643,'The Jogging Rapist',"Lubrano, Alfred. 
",2014-06-22,proquest.com/docview/1539332073/fulltext/7AF302E797BE4762PQ/1
644,State Store system perfect model for legalized pot,"Gelles, Jeff. 
",2014-06-22,proquest.com/docview/1539331931/fulltext/7AF302E797BE4762PQ/30
645,CAMDEN COUNTY: Opiate-abuse task force established,"Giordano, - Rita. 
",2014-06-23,proquest.com/docview/1539331937/fulltext/5049388500E42F7PQ/15
646,Sports betting ruled out for N.J.: High court lets stand law that limits athletic wagering to 4 states.,"Parmley, Suzette. 
",2014-06-24,proquest.com/docview/1539564483/fulltext/19146D6E591F4D67PQ/3
647,15 years for tip to kin on camera: The sentence exceeded federal guidelines and left the defense attorney flabbergasted.,"Roebuck, Jeremy. 
",2014-06-26,proquest.com/docview/1540562621/fulltext/2EDD150E3B8944F6PQ/12
648,Christie finds himself at home in Haddon Heights,"Riordan, Kevin. 
",2014-06-26,proquest.com/docview/1540562610/fulltext/2EDD150E3B8944F6PQ/14
649,Contaminant seen in 7 wells,"Fichera, Angelo. 
",2014-06-26,proquest.com/docview/1540562518/fulltext/2EDD150E3B8944F6PQ/15
650,Pa. Senate panel moves medical marijuana bill,"McCarthy, Erin. 
",2014-06-28,proquest.com/docview/1541551711/fulltext/9596C16F35674AA3PQ/12
651,"Revisiting civil forfeiture: A woman who lost her home appeals, saying she's punished for son's crime.","Mondics, Chris. 
",2014-06-30,proquest.com/docview/1541551942/fulltext/C352681F39374FC2PQ/3
652,Pa. seen lagging on pharmaceutical abuse,"Sapatkin, Don. 
",2014-07-01,proquest.com/docview/1541892633/fulltext/B8F2E4E6000E4D74PQ/7
653,"Bucks woman's laptop explodes: The Langhorne resident, 72, suffered burns. The manufacturer is reaching out to her to investigate.","Finley, Ben. 
",2014-07-01,proquest.com/docview/1541892584/fulltext/B8F2E4E6000E4D74PQ/14
654,Her Passion Blooms: Mischelle Ahmed's flowers grace Egg Harbor Twp.,"Riordan, Kevin. 
",2014-07-01,proquest.com/docview/1541892560/fulltext/B8F2E4E6000E4D74PQ/15
655,"'XPN adventure in Iceland: Geological, musical hot spot","Dan DeLuca INQUIRER MUSIC CRITIC. 
",2014-07-01,proquest.com/docview/1541892562/fulltext/B8F2E4E6000E4D74PQ/36
656,Four-game ban for Johnson?: Source: 4-game ban for Johnson,"Berman, Zach; McLaneS, Jeff. 
",2014-07-01,proquest.com/docview/1541892614/fulltext/B8F2E4E6000E4D74PQ/41
657,Police procedural has demonic twist: Deliver Us From Evil ** (out of four stars),"Derakhshani, Tirdad. 
",2014-07-02,proquest.com/docview/1542165754/fulltext/EC5C8EF1A854125PQ/39
658,"Police: On video, no act causing trauma: The paralyzed suspect's family and attorney point to other possible ways Camden County officers may be at fault.","Boren, Michael. 
",2014-07-03,proquest.com/docview/1542535345/fulltext/9D2C829142BB4273PQ/17
659,ISSUE | RIGHTS,,2014-07-04,proquest.com/docview/1545827962/fulltext/833315B810A7458BPQ/20
660,"Son, grandson charged in killing of Montco man: Two in man's family charged in his death","Davis, Carolyn. 
",2014-07-04,proquest.com/docview/1544437839/fulltext/833315B810A7458BPQ/31
661,"Rabbi, 89, who founded Renewal movement","Vitez, Michael. 
",2014-07-04,proquest.com/docview/1544437825/fulltext/833315B810A7458BPQ/43
662,"Police procedural, demonic twist: Deliver Us From Evil ** (Out of four stars) 'Deliver'","Derakhshani, Tirdad. 
",2014-07-04,proquest.com/docview/1544437853/fulltext/833315B810A7458BPQ/71
663,Pa. mandatory minimums seen in flux: Sentences for gun- and drug-related offenses have been put in doubt by a Supreme Court ruling.,"Palmer, Chris. 
",2014-07-08,proquest.com/docview/1545089325/fulltext/6E6F094F7C624091PQ/4
664,Private wells test high for contaminant: Chemical levels are more elevated than those forcing the closing of public drinking water wells in Glouco.,"Fichera, Angelo. 
",2014-07-09,proquest.com/docview/1545089126/fulltext/56A9933C33A74001PQ/14
665,Some autopsies under review: Pathologist barred in N.M. involved in at least one S. Jersey criminal case.,"Boyer, Barbara. 
",2014-07-10,proquest.com/docview/1545089447/fulltext/AA1E095249854678PQ/4
666,Some autopsies under review: Pathologist barred from practice in N.M. involved in at least one S.J. criminal case.,"Boyer, Barbara. 
",2014-07-10,proquest.com/docview/1545089266/fulltext/AA1E095249854678PQ/34
667,Pa. task force offers painkiller guidelines: The recommendations aim to help doctors in a state with one of the nation's worst overdose death rates.,"Dribben, Melissa. 
",2014-07-11,proquest.com/docview/1545089526/fulltext/BC3B0CAE45534CA7PQ/15
668,A Renewed 'Diana': Never seen quite like this before,"Salisbury, Stephan. 
",2014-07-11,proquest.com/docview/1545089217/fulltext/BC3B0CAE45534CA7PQ/16
669,A vision for family-centric addict rehab: Seabrook House celebrates 40 years as anchor for the recovery community.,"Riordan, Kevin. 
",2014-07-15,proquest.com/docview/1545707950/fulltext/AD468BF8C54B42C1PQ/20
670,"A big hunt in Cooper's Poynt: Investigators block alley, search a basement in what one source said was tied to a decade-old case.","Boren, Michael. 
",2014-07-16,proquest.com/docview/1545708068/fulltext/359C9CE53A694F20PQ/10
671,Testing new approach to Alzheimer's: The idea: Give the brain a more efficient fuel source via a drug mixed with food or liquid.,"Burling, Stacey. 
",2014-07-17,proquest.com/docview/1545708015/fulltext/AF7D2A119E6F4A75PQ/4
672,"Fair Play: Critters, rides, games at Burlco Farm Fair.","O'Reilly, David. 
",2014-07-17,proquest.com/docview/1545708022/fulltext/AF7D2A119E6F4A75PQ/10
673,"Field drug tests, at times faulty, on rise in Bucks: They're in use across the region. But they've landed innocent people in jail.","Finley, Ben. 
",2014-07-17,proquest.com/docview/1545708155/fulltext/AF7D2A119E6F4A75PQ/11
674,BURLINGTON COUNTY: Burlco officers carrying Narcan,"Boren, - Michael. 
",2014-07-17,proquest.com/docview/1545708079/fulltext/AF7D2A119E6F4A75PQ/21
675,The thrill is gone in 'Aftermath': Aftermath ** (out of four stars),"Derakhshani, Tirdad. 
",2014-07-18,proquest.com/docview/1545899133/fulltext/8AA1C2135B014C53PQ/48
676,"At life's crossroads, a struggling actor struggles on: Wish I Was Here ** 1/2 (Out of four stars)","Steven Rea INQUIRER MOVIE CRITIC. 
",2014-07-18,proquest.com/docview/1545899151/fulltext/8AA1C2135B014C53PQ/51
677,Second That Emotion: Kelly demands discipline as he builds his team,"McLANE, JEFF. 
",2014-07-20,proquest.com/docview/1547173766/fulltext/E34E4D4A8323419EPQ/33
678,Water woes hit Glouco families: High levels of a contaminant have caused five municipalities to stop using public wells.,"Fichera, Angelo. 
",2014-07-21,proquest.com/docview/1547172912/fulltext/A790E94B3E8C4625PQ/3
679,Prison for former baggage handler,"Moran, Robert. 
",2014-07-23,proquest.com/docview/1547752697/fulltext/390841DB3EEF43AFPQ/23
680,"Room to grow: Gardens on abandoned city lots have long been vulnerable to having the land sold out from under them. State and city efforts, such as the Philadelphia Land Bank, may put them on firmer ground. Braised Turnips With Butter and Soy Confetti Kale Slaw Roasted Carrot Fries & Dipping Sauce","Melamed, Samantha. 
",2014-07-24,proquest.com/docview/1548011506/fulltext/355A95E541E34B8EPQ/48
681,Kenney dedicates hotline to marijuana-arrest stories,"Grant, Jason. 
",2014-07-25,proquest.com/docview/1548336896/fulltext/E4C9A066CAE84562PQ/30
682,Talky take on 2-career couples: Happy Christmas ** (Out of four stars),"Steven Rea INQUIRER MOVIE CRITIC. 
",2014-07-25,proquest.com/docview/1548336709/fulltext/E4C9A066CAE84562PQ/61
683,Father of invention: Philadelphia University's biggest benefactor has never stopped coming up with ideas.,"Snyder, Susan. 
",2014-07-27,proquest.com/docview/1548719206/fulltext/ECB8D302BC944066PQ/9
684,Parents press Christie on Rx marijuana: They say changes will help ill children. He has cited concerns over legalization.,"Hefler, Jan. 
",2014-07-27,proquest.com/docview/1548718717/fulltext/ECB8D302BC944066PQ/14
685,Aid cuts and heroin among causes.: Homelessness on rise in Kensington,"Lubrano, Alfred. 
",2014-07-28,proquest.com/docview/1548719357/fulltext/BB1AB25BD0934E11PQ/1
